kind	path	command_or_target	role	mutation_risk	evidence	notes
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/ai_service.py	create_ai_service_listener(); listener.start()	AIServiceListener	ipc_service	main.py create_task and app.state refs	
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/edge_estimator_scheduler.py	start_scheduler() at API startup	EdgeEstimatorScheduler	scheduled_db_or_file_writer	leader-elected worker only	
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/evolution_auto_scheduler.py	start_scheduler() at API startup	EvolutionScheduler	scheduled_state_or_db_touch	main.py imports evolution_auto_scheduler.start_scheduler	
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/main.py	startup auto-seed from TruthSourceRegistry	ExperimentLedger auto-seed	db_mutating	get_experiment_ledger().auto_seed_from_claims	
api_startup_task	program_code/exchange_connectors/bybit_connector/control_api_v1/app/paper_trading_wiring.py	asyncio.create_task(...reconciler_alert_monitor())	reconciler_alert_monitor	monitoring_or_alerting	main.py create_task	
docker_service	docker_projects/monitoring_services/docker-compose.yml	grafana	Docker Compose service: grafana	service_or_observer	line 2: service grafana	compose services section
docker_service	docker_projects/trading_services/docker-compose.yml	audit_logger	Docker Compose service: audit_logger	service_or_observer	line 44: service audit_logger	compose services section
docker_service	docker_projects/trading_services/docker-compose.yml	binance_connector	Docker Compose service: binance_connector	service_or_observer	line 16: service binance_connector	compose services section
docker_service	docker_projects/trading_services/docker-compose.yml	bybit_connector	Docker Compose service: bybit_connector	service_or_observer	line 2: service bybit_connector	compose services section
docker_service	docker_projects/trading_services/docker-compose.yml	pretrade_risk_gate	Docker Compose service: pretrade_risk_gate	service_or_observer	line 30: service pretrade_risk_gate	compose services section
docker_service	docker_projects/trading_services/openclaw_bybit_control_api_v1/docker-compose.yml	openclaw_bybit_control_api_v1	Docker Compose service: openclaw_bybit_control_api_v1	service_mutating	line 4: service openclaw_bybit_control_api_v1	compose services section
fastapi_app	program_code/exchange_connectors/bybit_connector/control_api_v1/app/main.py	uvicorn app.main:app --host 0.0.0.0 --port 8000	Control API v1 HTTP service	service_mutating	app = base.app; app.include_router(...); @app.on_event('startup')	Default API target in restart_all.sh and launchd
fastapi_compat_app	program_code/exchange_connectors/bybit_connector/control_api_v1/app/main_snapshot_stable.py	uvicorn app.main_snapshot_stable:app	Compatibility API entry	service_mutating	from .main import app	Compatibility re-export only
fastapi_legacy_app	program_code/exchange_connectors/bybit_connector/control_api_v1/app/main_legacy.py	uvicorn app.main_legacy:app	Legacy Control API app	service_mutating	app = FastAPI(...)	Rollback path mentioned by app/main.py
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/ai_budget_routes.py	/api/v1/ai_budget	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/attribution_routes.py	(prefix dynamic/none)	APIRouter attribution_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/backtest_routes.py	/api/v1/backtest	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/edge_estimator_routes.py	/api/v1/edge-estimator	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/engine_capabilities_routes.py	(prefix dynamic/none)	APIRouter engine_capabilities_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/evolution_routes.py	/api/v1/evolution	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/executor_routes.py	(prefix dynamic/none)	APIRouter executor_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/experiment_routes.py	/api/v1/experiments	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/governance_routes.py	(prefix dynamic/none)	APIRouter governance_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/layer2_routes.py	(prefix dynamic/none)	APIRouter layer2_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/live_session_routes.py	(prefix dynamic/none)	APIRouter live_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/live_trust_routes.py	(prefix dynamic/none)	APIRouter live_trust_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/ml_routes.py	/api/v1/ml	APIRouter router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/paper_trading_routes.py	/api/v1/paper	APIRouter paper_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/phase4_routes.py	/api/v1/phase4	APIRouter phase4_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/risk_routes.py	(prefix dynamic/none)	APIRouter risk_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/scout_routes.py	(prefix dynamic/none)	APIRouter scout_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/settings_routes.py	(prefix dynamic/none)	APIRouter settings_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/shadow_fills_routes.py	(prefix dynamic/none)	APIRouter shadow_fills_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/strategist_history_routes.py	(prefix dynamic/none)	APIRouter strategist_history_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/strategist_history_routes.py	(prefix dynamic/none)	APIRouter strategist_cycle_router	api_read_or_mixed	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/strategist_promote_routes.py	(prefix dynamic/none)	APIRouter strategist_promote_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
fastapi_router	program_code/exchange_connectors/bybit_connector/control_api_v1/app/strategy_wiring.py	(prefix dynamic/none)	APIRouter phase2_router	api_mutating_or_sensitive	APIRouter declaration	router surface included directly or indirectly
launchd_service	helper_scripts/deploy/com.openclaw.engine-watchdog.plist	/usr/bin/env python3 __BASE__/helper_scripts/canary/engine_watchdog.py --data-dir __HOME__/.openclaw_runtime --stale-threshold 45 --grace-period 120 --poll-interval 1	launchd service	service_mutating	Label=com.openclaw.engine-watchdog; KeepAlive=True	macOS service template
launchd_service	helper_scripts/deploy/com.openclaw.engine.plist	__BASE__/rust/target/release/openclaw-engine	launchd service	service_mutating	Label=com.openclaw.engine; KeepAlive=True	macOS service template
launchd_service	helper_scripts/deploy/com.openclaw.gateway.plist	/usr/local/bin/node __HOME__/.npm-global/lib/node_modules/openclaw/dist/entry.js gateway --port 18789	launchd service	external_gateway_service	Label=com.openclaw.gateway; KeepAlive=True	macOS service template
launchd_service	helper_scripts/deploy/com.openclaw.trading-api.plist	__BASE__/program_code/exchange_connectors/bybit_connector/control_api_v1/.venv/bin/uvicorn app.main:app --host 0.0.0.0 --port 8000	launchd service	service_mutating	Label=com.openclaw.trading-api; KeepAlive=True	macOS service template
python_cli	helper_scripts/canary/canary_comparator.py	python3 helper_scripts/canary/canary_comparator.py	data writer CLI	db_mutating	__main__	
python_cli	helper_scripts/canary/edge_p2_flip_dry_run.py	python3 helper_scripts/canary/edge_p2_flip_dry_run.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/canary/engine_watchdog.py	python3 helper_scripts/canary/engine_watchdog.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/canary/g2_03_bind_helper.py	python3 helper_scripts/canary/g2_03_bind_helper.py	data writer CLI	db_mutating	__main__	
python_cli	helper_scripts/canary/replay_runner.py	python3 helper_scripts/canary/replay_runner.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/clean_restart_flatten.py	python3 helper_scripts/clean_restart_flatten.py	operator destructive CLI	state_mutating_or_live_capable	__main__	
python_cli	helper_scripts/db/audit_migrations.py	python3 helper_scripts/db/audit_migrations.py	database/operator CLI	db_mutating_or_db_sensitive	__main__	
python_cli	helper_scripts/db/canary_promote_runner.py	python3 helper_scripts/db/canary_promote_runner.py	data writer CLI	db_mutating	__main__	
python_cli	helper_scripts/db/check_migration_status.py	python3 helper_scripts/db/check_migration_status.py	database/operator CLI	db_mutating_or_db_sensitive	__main__	
python_cli	helper_scripts/db/counterfactual_exit_replay.py	python3 helper_scripts/db/counterfactual_exit_replay.py	data writer CLI	db_mutating	__main__	
python_cli	helper_scripts/db/fresh_start_reset.py	python3 helper_scripts/db/fresh_start_reset.py	operator destructive CLI	state_mutating_or_live_capable	__main__	
python_cli	helper_scripts/db/passive_wait_healthcheck.py	python3 helper_scripts/db/passive_wait_healthcheck.py	data writer CLI	db_mutating	__main__	
python_cli	helper_scripts/db/passive_wait_healthcheck/__main__.py	python3 helper_scripts/db/passive_wait_healthcheck/__main__.py	database/operator CLI	db_mutating_or_db_sensitive	__main__	
python_cli	helper_scripts/db/passive_wait_healthcheck/runner.py	python3 helper_scripts/db/passive_wait_healthcheck/runner.py	data writer CLI	db_mutating	__main__	
python_cli	helper_scripts/db/phase1a_c_readiness.py	python3 helper_scripts/db/phase1a_c_readiness.py	database/operator CLI	db_mutating_or_db_sensitive	__main__	
python_cli	helper_scripts/golden_dataset_gen.py	python3 helper_scripts/golden_dataset_gen.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/maintenance_scripts/bybit_connector/_bybit_latest_wrapper.py	python3 helper_scripts/maintenance_scripts/bybit_connector/_bybit_latest_wrapper.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/maintenance_scripts/bybit_connector/repair_i10_stage_source_aliases.py	python3 helper_scripts/maintenance_scripts/bybit_connector/repair_i10_stage_source_aliases.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/phase4/dl3_go_no_go.py	python3 helper_scripts/phase4/dl3_go_no_go.py	data writer CLI	db_mutating	__main__	
python_cli	helper_scripts/phase4/weekly_report.py	python3 helper_scripts/phase4/weekly_report.py	data writer CLI	db_mutating	__main__	
python_cli	helper_scripts/research/bb_breakout_threshold_sweep.py	python3 helper_scripts/research/bb_breakout_threshold_sweep.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/research/cost_edge_advisor_observation_report.py	python3 helper_scripts/research/cost_edge_advisor_observation_report.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/research/exit_features_summary.py	python3 helper_scripts/research/exit_features_summary.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/research/exit_threshold_calibrator.py	python3 helper_scripts/research/exit_threshold_calibrator.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/research/ma_crossover_counterfactual_replay.py	python3 helper_scripts/research/ma_crossover_counterfactual_replay.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/research/shadow_disagreement_breakdown.py	python3 helper_scripts/research/shadow_disagreement_breakdown.py	utility CLI	unknown_until_review	__main__	
python_cli	helper_scripts/schema_diff.py	python3 helper_scripts/schema_diff.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_governance_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_governance_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_governance_final_audit.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_governance_final_audit.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_log.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_log.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_log_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_log_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_governance_audit.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_governance_audit.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_governance_audit_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_governance_audit_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_governed_decision.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_governed_decision.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_governed_decision_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_governed_decision_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_invocation_attempt_builder.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_invocation_attempt_builder.py	data writer CLI	db_mutating	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_invocation_attempt_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_invocation_attempt_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_builder.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_builder.py	data writer CLI	db_mutating	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_tighten.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_tighten.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_request_envelope_builder.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_request_envelope_builder.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_request_envelope_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_request_envelope_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check_builder.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check_builder.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_route_selector_builder.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_route_selector_builder.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_ai_route_selector_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_ai_route_selector_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_final_audit.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_final_audit.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_gate.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_gate.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_gate_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_gate_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_policy.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_policy.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_policy_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_policy_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_runtime.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_runtime.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_runtime_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_runtime_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_model_router_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_model_router_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_model_router_decision.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_model_router_decision.py	ML/training CLI	db_or_model_artifact_mutating	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_model_router_decision_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_model_router_decision_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_model_router_final_audit.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_model_router_final_audit.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_model_router_policy.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_model_router_policy.py	ML/training CLI	db_or_model_artifact_mutating	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_model_router_policy_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_model_router_policy_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_model_router_runtime.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_model_router_runtime.py	ML/training CLI	db_or_model_artifact_mutating	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_model_router_runtime_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_model_router_runtime_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_query_budget_final_audit.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_query_budget_final_audit.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_query_budget_final_audit_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_query_budget_final_audit_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_query_budget_gate.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_query_budget_gate.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_query_budget_gate_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_query_budget_gate_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_query_budget_policy.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_query_budget_policy.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_query_budget_policy_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_query_budget_policy_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_query_budget_runtime.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_query_budget_runtime.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_query_budget_runtime_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_query_budget_runtime_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_acceptance_suite.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_acceptance_suite.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_decision_builder.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_decision_builder.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_decision_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_decision_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_final_audit.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_final_audit.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_handoff.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_handoff.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_input_builder.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_input_builder.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_input_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_input_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_policy_builder.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_policy_builder.py	utility CLI	unknown_until_review	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_policy_contract_check.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_policy_contract_check.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_regression_summary.py	python3 program_code/ai_agents/bybit_thought_gate/bybit_thought_gate_regression_summary.py	contract/audit CLI	validation_or_readonly	__main__	
python_cli	program_code/audit/counterfactual_exit_audit.py	python3 program_code/audit/counterfactual_exit_audit.py	data writer CLI	db_mutating	__main__	
python_cli	program_code/exchange_connectors/bybit_connector/control_api_v1/scripts/auto_bridge_observer_to_runtime_snapshot.py	python3 program_code/exchange_connectors/bybit_connector/control_api_v1/scripts/auto_bridge_observer_to_runtime_snapshot.py	observer/read-only CLI	readonly_external_api	__main__	
python_cli	program_code/exchange_connectors/bybit_connector/control_api_v1/scripts/generate_runtime_snapshot.py	python3 program_code/exchange_connectors/bybit_connector/control_api_v1/scripts/generate_runtime_snapshot.py	utility CLI	unknown_until_review	__main__	
